"中分類コード","中分類名称","NO（項番）","名称","住所","緯度","経度","電話番号","施設概要","名称_カナ","災害種別_洪水","災害種別_崖崩れ、土石流及び地滑り","災害種別_高潮","災害種別_地震","災害種別_津波","災害種別_大規模な火事","災害種別_内水氾濫","災害種別_火山現象","指定避難所との重複","想定収容人数","対象となる町会・自治会","URL","備考","地図掲載","オープンデータ公開","所管所属","分類"
"1","災害時避難場所","70","川越少年刑務所　鍛錬所前駐車場","埼玉県川越市南大塚6-40-1","35.87931","139.45825","","","カワゴエショウネンケイムショ　タンレンジョマエチュウシャジョウ","1","1","","1","","","1","","","","大東地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","5","仙波小学校","埼玉県川越市富士見町4-1","35.905307","139.487911","","","センバショウガッコウ","1","","","1","","1","1","","1","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","3","中央小学校","埼玉県川越市中原町1丁目25","35.917409","139.481261","","","チュウオウショウガッコウ","1","","","1","","1","1","","1","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","1","川越第一中学校","埼玉県川越市小仙波町5丁目6","35.913452","139.490467","","","カワゴエダイイチチュウガッコウ","1","","","1","","1","1","","1","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","2","川越総合高等学校","埼玉県川越市小仙波町5丁目14","35.915639","139.492092","","","カワゴエソウゴウコウトウガッコウ","1","","","1","","1","1","","1","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","6","川越女子高等学校","埼玉県川越市六軒町1丁目23-1","35.915791","139.478889","","","カワゴエジョシコウトウガッコウ","1","","","1","","1","1","","1","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","4","川越工業高等学校","埼玉県川越市西小仙波町2丁目28-1","35.912809","139.487094","","","カワゴエコウギョウコウトウガッコウ","1","","","1","","1","1","","1","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","7","川越工業高等学校グランド","埼玉県川越市小仙波847-1","35.915329","139.503432","","","カワゴエコウギョウコウトウガッコウグランド","1","","","1","","1","1","","","","本庁中央地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","14","泉小学校","埼玉県川越市小室463","35.917753","139.464605","","","イズミショウガッコウ","1","","","1","","1","1","","1","","本庁南地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
"1","災害時避難場所","10","新宿小学校","埼玉県川越市新宿町6丁目9-1","35.895005","139.477173","","","アラジュクショウガッコウ","1","","","1","","1","1","","1","","本庁南地区","http://www.city.kawagoe.saitama.jp/shisetsu/hinanbashoichiran/index.html","","継続掲載","する","防災危機管理室","避難場所"
